id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.08
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.82
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.12
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.88
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.04
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.91
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.45
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.62
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.85
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.11
11,Lagos Bounce,Afro Vibez,afrobeats,energetic,0.88,102,0.91,0.94,0.12,0.05
12,Heartstrings,Velvet Haze,r&b,romantic,0.55,85,0.78,0.68,0.44,0.10
13,Cold Window,Mira Sol,classical,melancholic,0.22,58,0.31,0.24,0.97,0.94
14,Red Dirt Road,Canyon Echo,country,nostalgic,0.48,96,0.72,0.61,0.83,0.22
15,Override System,KRNE,metal,angry,0.97,168,0.22,0.55,0.04,0.08
16,Blue Harbor,Delta Roots,blues,sad,0.44,72,0.38,0.50,0.76,0.38
17,Mango Sunrise,Island Drift,reggae,peaceful,0.61,88,0.88,0.77,0.58,0.15
18,Block Party,Kenzo Floe,hip-hop,uplifting,0.79,95,0.83,0.91,0.09,0.03
19,Velvet Rain,Slow Stereo,jazz,melancholic,0.33,75,0.38,0.45,0.82,0.55
20,Neon Pulse,SynthX,synthwave,energetic,0.86,128,0.78,0.85,0.15,0.35
21,Golden Fields,Canyon Echo,country,peaceful,0.52,98,0.75,0.63,0.76,0.18
22,Iron Will,KRNE,metal,intense,0.94,172,0.25,0.58,0.03,0.06
23,Sunday Slow,Velvet Haze,r&b,relaxed,0.48,82,0.72,0.65,0.38,0.08
24,Moonlit Sonata,Mira Sol,classical,peaceful,0.24,56,0.68,0.22,0.95,0.92
25,City Lights,Neon Echo,pop,romantic,0.68,112,0.82,0.74,0.28,0.07
26,Deep Space,Orbit Bloom,ambient,focused,0.31,62,0.58,0.38,0.91,0.88
27,Street Cipher,Kenzo Floe,hip-hop,angry,0.83,97,0.28,0.88,0.08,0.04
28,Blue Monday,Delta Roots,blues,melancholic,0.39,70,0.34,0.48,0.72,0.42
29,Bounce Back,Afro Vibez,afrobeats,happy,0.85,106,0.92,0.91,0.10,0.03
30,Paper Trails,Indigo Parade,indie pop,nostalgic,0.62,118,0.74,0.78,0.42,0.14
31,Rain on Glass,LoRoom,lofi,sad,0.28,68,0.32,0.52,0.88,0.79
32,Thunder Road,Voltline,rock,angry,0.89,148,0.35,0.62,0.08,0.09
33,Tide Pool,Island Drift,reggae,relaxed,0.54,84,0.80,0.72,0.52,0.20
34,Neon Ghost,SynthX,synthwave,moody,0.69,105,0.42,0.68,0.18,0.58
35,Jazz Nocturne,Slow Stereo,jazz,romantic,0.41,88,0.76,0.56,0.85,0.48
36,High Rise,Max Pulse,pop,energetic,0.88,134,0.85,0.91,0.07,0.05
37,Coastal Drive,Velvet Haze,r&b,uplifting,0.72,94,0.88,0.76,0.22,0.06
38,Morning Dew,Mira Sol,classical,relaxed,0.29,60,0.65,0.28,0.93,0.90
39,Lost Signal,Orbit Bloom,ambient,moody,0.34,58,0.44,0.35,0.89,0.94
40,Freestyle Friday,Kenzo Floe,hip-hop,uplifting,0.84,98,0.87,0.90,0.06,0.02
41,Indie Sunday,Indigo Parade,indie pop,chill,0.57,110,0.70,0.75,0.48,0.16
42,Gravel Road,Canyon Echo,country,sad,0.40,88,0.42,0.58,0.78,0.25
43,Voltage Drop,KRNE,metal,focused,0.76,152,0.32,0.55,0.05,0.10
44,Shoreline,Island Drift,reggae,romantic,0.57,86,0.84,0.74,0.56,0.18
45,Daydream Loop,LoRoom,lofi,focused,0.38,76,0.55,0.56,0.80,0.82
46,Ember Sky,Canyon Echo,country,nostalgic,0.44,94,0.68,0.60,0.80,0.22
47,Soul Kitchen,Delta Roots,blues,uplifting,0.58,78,0.72,0.55,0.65,0.32
48,Pop Sunrise,Max Pulse,pop,uplifting,0.80,122,0.88,0.85,0.15,0.06
